F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
,9,0,9,0,55,54,,54,1,1,0,0,0,,,,,
,11,0,11,0,52,52,,0,0,0,0,0,0,,,,,
,8,0,8,0,43,43,,0,0,0,0,0,0,,,,,
,20,2,20,3,80,75,,0,2,0,0,0,2,,,,,
,6,0,6,0,50,50,,0,0,0,0,0,0,,,,,
,10,1,10,0,44,42,,0,2,1,0,0,1,,,,,
,11,1,11,0,46,43,,1,3,0,0,2,1,,,,,
,9,0,9,0,44,39,,0,5,0,0,0,0,,,,,
,10,0,10,0,51,51,,0,0,0,0,0,0,,,,,
,14,0,14,0,65,64,,0,1,1,0,0,0,,,,,
,10,0,10,0,43,42,,0,1,1,0,0,0,,,,,
,9,0,9,0,42,42,,0,0,0,0,0,0,,,,,
,8,0,8,0,53,52,,0,1,1,0,0,0,,,,,
,12,0,12,0,57,57,,0,0,0,0,0,0,,,,,
,20,0,20,0,94,94,,0,0,0,0,0,0,,,,,
,18,0,18,0,97,96,,0,1,1,0,0,0,,,,,
,5,0,5,0,46,46,,0,0,0,0,0,0,,,,,
,21,0,21,0,101,101,,0,0,0,0,0,0,,,,,
,18,0,18,0,88,87,,1,1,1,0,0,0,,,,,
,9,0,9,0,52,49,,0,3,0,1,0,0,,,,,
,10,0,10,0,49,49,,0,0,0,0,0,0,,,,,
,20,0,20,0,91,91,,0,0,0,0,0,0,,,,,
,10,0,10,0,57,48,,0,9,0,1,6,0,,,,,
,20,0,20,0,89,89,,0,0,0,0,0,0,,,,,
,20,1,20,0,96,95,,0,1,0,0,0,1,,,,,
,16,0,16,0,65,65,,0,0,0,0,0,0,,,,,
,18,1,18,0,76,75,,0,1,0,0,0,1,,,,,
,13,0,13,0,53,50,,0,3,0,1,0,0,,,,,
,5,0,5,0,50,40,,0,10,10,0,0,0,,,,,
,14,0,14,1,71,70,,0,0,0,0,0,0,,,,,
,8,0,8,0,44,44,,0,0,0,0,0,0,,,,,
,8,1,8,0,46,45,,1,1,0,0,0,1,,,,,
,9,0,9,0,48,41,,0,7,3,0,4,0,,,,,
,9,0,9,0,47,41,,0,6,0,0,6,0,,,,,
,9,0,9,0,51,51,,0,0,0,0,0,0,,,,,
,10,0,10,0,49,47,,0,2,0,0,2,0,,,,,
,18,0,18,0,71,65,,0,6,0,0,6,0,,,,,
,14,0,14,0,62,50,,0,12,0,1,9,0,,,,,
,10,1,10,0,44,43,,6,1,0,0,0,1,,,,,
,13,0,13,0,59,59,,0,0,0,0,0,0,,,,,
,8,1,8,0,44,42,,0,2,0,0,0,1,,,,,
,11,0,11,0,46,46,,0,0,0,0,0,0,,,,,
,9,0,9,0,70,70,,32,0,0,0,0,0,,,,,
,14,0,14,0,96,93,,32,3,0,0,3,0,,,,,
,9,0,9,0,42,38,,0,4,0,0,0,0,,,,,
,11,0,11,0,66,66,,22,0,0,0,0,0,,,,,
,18,0,18,0,90,90,,0,0,0,0,0,0,,,,,
,17,0,17,2,66,64,,0,0,0,0,0,0,,,,,
,12,0,12,0,64,64,,1,0,0,0,0,0,,,,,
,11,0,11,0,56,56,,0,0,0,0,0,0,,,,,
,56,0,56,0,232,229,,9,3,2,0,0,0,,,,,
